Profile ID,Organization Name,Membership Level Name,Primary Listing Category,Profile County,Resolved County,Profile Zip Code,is_active,is_dup_by_address,is_additional_listing_tier,is_non_covered_category,is_in_county,is_tier_a,is_tier_b
831,"McNair, McLemore, Middlebrooks & Co., LLC",Community Advocate,Accounting Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
832,Visit Macon,Basic Membership,"Arts, Entertainment & Attractions",Bibb,Bibb,31201,True,False,False,False,True,True,True
834,Middle Georgia Community Food Bank,Basic Membership,Non-Profit Organizations,Bibb,Bibb,31217,True,False,False,False,True,True,True
836,Macon Milledgeville Regional Habitat for Humanity,Basic Membership,Non-Profit Organizations,Bibb,Bibb,31204,True,False,False,False,True,True,True
839,The Arc Macon,Basic Membership,Non-Profit Organizations,Bibb,Bibb,31210,True,False,False,False,True,True,True
841,Beverage South of Macon,Economic Driver,Distribution & Wholesale,Bibb,Bibb,31216,True,False,False,False,True,True,True
842,Macon-Bibb County Health Department,Business Catalyst,Health Care & Medical Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
844,Macon Water Authority,Basic Membership,Utilities & Internet Service Providers,Bibb,Bibb,31201,True,False,False,False,True,True,True
845,Macon-Bibb County Transit Authority,Basic Membership,Government,Bibb,Bibb,31206,True,False,False,True,True,True,False
848,Middle Georgia Association of Realtors,Basic Membership,Real Estate,Bibb,Bibb,31204,True,False,False,False,True,True,True
853,"SPP Investments, LLC",Basic Membership,Real Estate,Bibb,Bibb,31210,True,False,False,False,True,True,True
858,Middle Georgia State University,Leading Investor,Education,Bibb,Bibb,31206,True,False,False,False,True,True,True
860,"Graphic Packaging International, Inc.",Leading Investor,"Industrial, Manufacturing & Logistics",Bibb,Bibb,31206,True,False,False,False,True,True,True
865,Macon Magazine,Basic Membership,Marketing & Media,Bibb,Bibb,31201,True,False,False,False,True,True,True
876,OrthoGeorgia,Community Advocate,Health Care & Medical Services,Bibb,Bibb,31210,True,False,False,False,True,True,True
879,"MetroPower, Inc.",Business Catalyst,Electrical & Plumbing Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
883,"Macon Supply Company, Inc.",Basic Membership,Construction & Building Services,Bibb,Bibb,31206,True,False,False,False,True,True,True
885,Central Georgia Technical College,Leading Investor,Education,Bibb,Bibb,31206,True,False,False,False,True,True,True
904,"Marshall Lumber Company, Inc.",Basic Membership,Construction & Building Services,Bibb,Bibb,31204,True,False,False,False,True,True,True
907,"Martin Snow, LLP",Business Catalyst,Legal Services,Bibb,Bibb,31202,True,False,False,False,True,True,True
911,"Adams, Jordan & Herrington, P.C.",Basic Membership,Legal Services,Bibb,Bibb,31201,True,False,False,False,True,True,True
